Video ID,Channel Name,Views,Likes,Subscribers,published_date
ekCcFjFAa1A,GassyMexican,28060,1026,1320000,2020-12-04 00:58:58
XsdWTtCL_qc,MaxPalaro,32166,3066,2670000,2020-12-21 22:15:00
kgSo96mE__I,Unboxed Reviews,255,0,20,2021-04-01 15:44:49
Na7bsMb9Cbc,Christian Torres,2144,15,61,2021-04-12 22:29:29
_sUmfInOorQ,8BE,2209,51,92500,2021-06-28 21:00:11
XseO2i-AaUs,HCL.hr,50152,3178,614000,2020-12-05 11:31:09
oW0AyAuC42k,PlayStation,206651,4525,15900000,2020-11-06 14:30:02
Reb6i1HZCtw,Zoomin Games Espanol,29920,944,1070000,2020-07-02 15:37:58
MN14gXL7r0E,Game Trailers,400,1,1520,2021-06-15 20:11:50
2umUEfRf2H4,WACKYWAB,119,1,19,2021-06-24 18:55:45
Knx9VozKyQY,Hagazo,103126,5444,2450000,2020-12-02 18:13:31
YPiIRIDDQ88,Everyeye,15487,438,323000,2020-12-06 12:00:10
EfdaLDuD-aA,SpyCakes,77403,1962,4180000,2024-10-16 10:00:23
8W5DpA1qgLw,Beautiful OB,21087,680,1740000,2024-10-17 09:50:00
bIYNzSpEroc,Maze,44144,486,19000,2024-09-11 13:00:42
uZCXuwb5DiE,SpyCakes,514182,5185,4180000,2024-03-07 11:00:52
_O-S7ZzdsZw,Beautiful OB,35484,1110,1740000,2024-10-11 09:50:00
mh1cehg9kHw,SpyCakes,779176,10367,4180000,2024-07-26 10:00:52
XxE24W27zXA,Nintendo of America,52708,892,9610000,2024-08-27 14:15:18
UsC27o9sunM,SpyCakes,515534,5440,4180000,2024-03-11 10:00:19
r_M8Y_3aINk,Download Zain gaming ,4,-1,893,2024-10-18 06:30:06
2invlS5ks04,RubberBandGames,436574,3729,12600,2024-03-25 10:08:59
qyFzzyOkxtY,SpyCakes,708582,6795,4180000,2024-06-26 10:00:52
zKrdEpTr7zQ,SpyCakes,385290,3784,4180000,2024-05-14 10:00:50
ngbzxk9jPJc,SpyCakes,276902,3979,4180000,2024-08-09 10:00:56
fDSSXOPZops,SpyCakes,554703,6401,4180000,2024-08-02 10:00:41
qm6NGsn34HY,Maze,12903,148,19000,2024-10-12 13:01:04
uXbCPpYDWAo,SpyCakes,191218,3323,4180000,2024-08-17 10:00:53
TpniP9ebc8E,Maze,29550,265,19000,2024-10-05 13:00:29
